編號,學名,中名,評估,特有性,呂勝由,特稀圖,FOT,特稀有,賴明洲,渡假,文建會,教育廳,蘇鴻傑1,蘇鴻傑2
996,Cymbidium goeringii var. tortisepalum,菅草蘭,,,,,rank3,,稀有級,II,II,II,C E,HR OP
997,Cymbidium kanran,寒蘭,,,,,,,稀有級,II,II,II,C,HR OP
998,Cymbidium lancifolium var. syunitianum,大竹柏蘭,,Endemic,,,rank3,,,,,,,
999,Cymbidium sinense,報歲蘭,,,,,,,稀有級,II,II,II,C,HR OP
1000,Cypripedium debile,小喜普鞋蘭,,,,,,,稀有級,III,,,,
1001,Cypripedium formosanum,臺灣喜普鞋蘭,,Endemic,,,,,稀有級,III,,,,
1002,Cypripedium japonicum,日本喜普鞋蘭,,,,,,,,III,,,C,HR OP MP
1003,Cypripedium macranthum,奇萊喜普鞋蘭,,,,,,,稀有級,III,III,III,,
1004,Cypripedium segawai,寶島喜普鞋蘭,,Endemic,,,rank2,,,,,,,
1005,Dendrobium clavatum var. aurantiacum,金草蘭,,,VU(Ⅴ),,,,,,,,D,HR OP MP
1006,Dendrobium crumenatum,鴿石斛,,,,,,,稀有級,I,I,I,A,HR OP
1007,Dendrobium furcatopedicellatum,雙花石斛,,Endemic,,,rank4,,,,,,,
1008,Dendrobium goldschmidtianum,紅石斛,,,,,,,稀有級,II,II,II,A E,HR OP
1009,Dendrobium leptocladum,細莖石斛,,,,,rank3,,,,,,,
1010,Dendrobium linawianum,櫻石斛,,,,,,,稀有級,III,III,III,A,HR OP
1011,Dendrobium tosaense,黃花石斛,,,VU(Ⅵ),,,,,,,,A,HR OP
1012,Dendrobium ventricosum,燕子石斛,,,,,,,,,,,A,HR OP
1013,Dendrochilum uncatum,黃穗蘭,,,VU(Ⅵ),,,第一級,,,,,A,HR OP
1014,Didymoplexis pallens,吊鐘鬼蘭,,,,,,,稀有級,III,III,III,,
1015,Disperis siamensis,雙袋蘭,,,,,,,稀有級,III,III,III,,
1016,Ephemerantha pallens,大武暫花蘭,,,,,,,,I,I,I,,
