編號,學名,中名,評估,特有性,呂勝由,特稀圖,FOT,特稀有,賴明洲,渡假,文建會,教育廳,蘇鴻傑1,蘇鴻傑2
79,Lycopodium fargesii,銳葉石松,,,NT(Ⅴ),,,,,,,,,
80,Lycopodium phlegmaria ,垂枝石松,,,EN(II),,,,稀有級,,,,,
81,Lycopodium savlinioides ,小垂枝石松,,,EN(II),,,,稀有級,,,,,
82,Lycopodium selago var. appressum,小杉葉石松,,,,,,,稀有級,,,,,
83,Lycopodium sieboldii,鱗葉石松,,,VU(Ⅵ),,,,,,,,,
84,Lycopodium squarrosum,杉葉石松,,,VU(Ⅴ),,,,稀有級,III,II,II,,
85,Lycopodium taiwanense,臺灣石松,,,,,,第四級,,,,,,
86,MARATTIACEAE,觀音座蓮舅科,,,,,,,,,,,,
87,Archangiopteris somai ,臺灣原始觀音座蓮,,Endemic,EN(II),第一級,rank1,第一級,,,,,,
88,Marattia pellucida,觀音座蓮舅,,,,,,,稀有級,III,III,III,,
89,ONOCLEACEAE,球子蕨科,,,,,,,,,,,,
90,Matteuccia orientalis,東方莢果蕨,,,,,,,稀有級,III,III,III,,
91,OPHIOGLOSSACEAE,瓶爾小草科,,,,,,,,,,,,
92,Botrychium lunaria ,扇羽陰地蕨,,,cd(II),,,,稀有級,,,,,
93,Helminthostachys zeylanica ,錫蘭七指蕨,,,EN(II),,,,漸危級,"II,III※",III※,III,,
94,OSMUNDACEAE,紫萁科,,,,,,,,,,,,
95,Osmunda cinnamomea,分株假紫萁,,,,,,,,III,III,III,,
96,Osmunda claytoniana,绒假紫萁,,,,,,,稀有級,,,,,
97,POLYPODIACEAE,水龍骨科,,,,,,,,,,,,
98,Aglaomorpha meyeniana ,連珠蕨　,,,VU(II),第一級,,,稀有級,I,I,I,,
99,Belvisia mucronata ,尖嘴蕨,,,CR(II),,,,稀有級,III,III,III,,
100,Loxogramme biformis,二形劍蕨,,,,,,第二級,稀有級,III,III,III,,
101,Phymatosorus longissimus ,水社擬茀蕨,,,,,,,稀有級,III,III,III,,
102,Phymatosorus nigrescens ,薄葉擬茀蕨,,,CR(II),,,,,,,,,
103,Polypodium microrhizoma,栗柄水龍骨,,,VU(Ⅵ),,,,,,,,,
104,PTERIDACEAE,鳳尾蕨科,,,,,,,,,,,,
105,Cheilanthes hirsuta ,毛碎米蕨,,,NT(Ⅵ),,,,,,,,,
106,Cryptogramma stelleri ,疏葉珠蕨,,,VU(II),,,,,,,,,
107,Onychium siliculosum,金粉蕨,,,NT(Ⅵ),,,,,,,,,
108,Pteris angustipinna,細葉鳳尾蕨,,Endemic,,,rank4,第四級,,,,,,
109,Pteris bella,長柄鳳尾蕨,,Endemic,,,rank3,第三級,,,,,,
110,Pteris deltodon,岩鳳尾蕨,,,NT(Ⅳ),,,,,,,,,
111,Pteris ryukyuensis,琉球鳳尾蕨,,,NE(Ⅳ),,,,,,,,,
112,Pteris venusta,爪哇鳳尾蕨,,,VU(Ⅴ),,,,,,,,,
113,SALVINIACEAE,槐葉萍科,,,,,,,,,,,,
114,Salvinia natans ,槐葉蘋,,,CR(II),,,,漸危級,,,,,
115,SCHIZAEACEAE,海金沙科,,,,,,,,,,,,
116,Schizaea dichotoma ,分枝莎草蕨,,,CR(II),,,,稀有級,III,III,III,,
117,Schizaea digitata,莎草蕨,,,,,,,稀有級,III,III,III,,
118,SELAGINELLACEAE,卷柏科,,,,,,,,,,,,
119,Selaginella boninensis,小笠原卷柏,,,NT(Ⅵ),,,,稀有級,III,III,III,,
120,Selaginella nipponica,日本卷柏,,,DD(Ⅴ),,,,稀有級,III,III,III,,
121,Selaginella pseudonipponica,擬日本卷柏,,,NT(Ⅴ),,,第二級,,,,,,
122,THELYPTERIDACEAE,金星蕨科,,,,,,,,,,,,
123,Cyclosorus ensifer,廣葉毛蕨,,Endemic,,,rank3,,,,,,,
124,Cyclosorus interruptus ,毛蕨,,,VU(II),,,,,,,,,
125,Pseudocyclosorus tylodes,疣狀假毛蕨,,,EN(Ⅴ),,,,,,,,,
126,Stegnogramma dictyoclinoides,溪邊蕨,,,VU(Ⅵ),,,,稀有級,,,,,
127,VITTARIACEAE,書帶蕨科,,,,,,,,,,,,
128,Antrophyum sessilifolium,蘭嶼車前蕨,,,LC(Ⅳ),,,,稀有級,III,III,III,,
129,Monogramma paradoxa ,連抱一條線蕨,,,VU(Ⅵ),,,,,,,,,
130,Vittaria mediosora,細葉書帶蕨,,,VU(Ⅳ),,,第四級,,,,,,
131,AMENTOTAXACEAE,穗花杉科,,,,,,,,,,,,
132,Amentotaxus formosana ,臺灣穗花杉,,Endemic,EN(I),第二級,rank2,第一級,瀕危級,"I,III※","I,III※","I,III",A B E,PR HR EP
133,CEPHALOTAXACEAE,粗榧科,,,,,,,,,,,,
134,Cephalotaxus wilsoniana ,臺灣粗榧,,Endemic,EN(I),第三級,rank3,第三級,漸危級,I,I,I,C E,HR MP
135,CUPRESSACEAE,柏科,,,,,,,,,,,,
136,Calocedrus macrolepis var. formosana ,臺灣肖楠,,Endemic,EN(I),第二級,rank2,第三級,稀有級,,,,A E B,EP HR PR MP
137,Chamaecyparis formosensis ,紅檜,,Endemic,VU(I),,,,,,,,,
138,Chamaecyparis obtusa var. formosana ,臺灣扁柏,,Endemic,VU(I),,rank3,,,,,,,
139,Juniperus chinensis  var. tsukusiensis ,清水圓柏,,Endemic,CR(I),,rank1,第四級,漸危級,III,III,III,A,HR OP
140,Juniperus formosana var. condolor,綠背刺柏 ,,,,,,,,,,,A E,HR
141,CYCADACEAE,蘇鐵科,,,,,,,,,,,,
142,Cycas taitungensis ,臺東蘇鐵,,Endemic,CR(I),第二級,rank2,第一級,瀕危級,"II,III","I,III","I,III",A,OP MP
143,PINACEAE,松科,,,,,,,,,,,,
144,Keteleeria davidiana  var. formosana ,臺灣油杉,,Endemic,CR(I),,rank1,第一級,瀕危級,"I,III※","I,III※","I,III",A B E,PR HRP MP
145,Picea morrisonicola ,臺灣雲杉,,Endemic,VU(I),,,,,,,,,
146,Pinus massoniana,馬尾松,,,,,,,漸危級,,,,C,PR HR MP
147,Pinus morrisonicola,臺灣五葉松,,Endemic,,,,,漸危級,,,,,
148,Pseudotsuga wilsoniana ,臺灣黃杉,,Endemic,VU(II),第三級,rank3,,,,,,CE,HR EP
149,PODOCARPACEAE,羅漢松科,,,,,,,,,,,,
150,Nageia nagi ,竹柏,,,CR(I),,,,漸危級,,,,,
151,Negeia fleuryi,長葉竹柏,,,,,,,漸危級,,,,,
152,Podocarpus costalis ,蘭嶼羅漢松,,,CR(I),,,,瀕危級,"II,III※","I,III※","I,III※",A,HR OP
153,Podocarpus fasciculus ,叢花百日青,,Endemic,EN(I),,rank2,,,,,,,
154,Podocarpus formosensis,臺灣竹柏,,,,,,,漸危級,,,,,
155,Podocarpus macrophyllus ,大葉羅漢松,,,VU(II),,,,,,,,,
156,Podocarpus macrophyllus var. maki ,小葉羅漢松,,,EN(I),,,,,,,,,
157,Podocarpus nakaii ,桃實百日青,,Endemic,EN(I),第二級,rank2,第二級,漸危級,,,,,
158,Podocarpus neriifolius,百日青,,,,,,,漸危級,,,,,
159,TAXACEAE,紅豆杉科,,,,,,,,,,,,
160,Taxus sumatrana ,臺灣紅豆杉,,,EN(I),,,,漸危級,"I,II※","I,II","I,II",C,PR HR EP
161,TAXODIACEAE,杉科,,,,,,,,,,,,
162,Cunninghamia konishii ,巒大杉,,Endemic,VU(I),,rank3,,,,,,CE,EP HR MP
163,Taiwania cryptomerioides ,臺灣杉,,Endemic,EN(I),,rank4,第三級,漸危級,"I,II","I,II","I,II",B C E,HR EP PR
164,ACANTHACEAE,爵床科,,,,,,,,,,,,
165,Asystasiella neesiana,尼氏擬馬偕花,,,VU(Ⅵ),,,,,,,,,
166,Hemigraphis primulifolia,恆春半插花,,,VU(Ⅳ),,,,,,,,,
167,Hemigraphis reptans,匍匐半插花,,,VU(Ⅳ),,,,,,,,,
168,Hygrophila lancea,水蓑衣,,,,,,,稀有級,I※,I※,I※,,
169,Hygrophila pogonocalyx,大安水蓑衣,,Endemic,EN(Ⅳ),,rank1,第一級,,,,,,
170,Hygrophila polysperma,小獅子草,,,,,,,稀有級,I,I,I,,
171,Justicia procumbens var. hayatae,早田氏爵床,,Endemic,,,rank2,,,,,,,
172,Justicia procumbens var. hirsuta,密毛爵床,,Endemic,,,rank2,,,,,,,
173,Justicia procumbens var. linearifolia,狹葉爵床,,Endemic,,第二級,rank2,,,,,,,
174,Justicia quadrifaria,花蓮爵床,,,VU(Ⅳ),,,,,,,,,
175,Kudoacanthus albonervosa,銀脈爵床,,Endemic,,第三級,rank3,第三級,,,,,,
176,Lepidagathis stenophylla,柳葉鱗球花,,Endemic,,第二級,rank2,,,,,,,
177,Staurogyne debilis,菲律賓哈哼花,,,VU(Ⅵ),,,,,,,,,
178,ACERACEAE,槭樹科,,,,,,,,,,,,
179,Acer buergerianum  var. formosanum ,臺灣三角楓,EN,Endemic,CR(I),,rank1,第一級,稀有級,"I,III","I,III","I,III",C,HR EP
180,ACTINIDIACEAE,獼猴桃科,,,,,,,,,,,,
181,Actinidia arguta,軟棗獼猴桃,VU,,VU(Ⅲ),,,,,,,,,
182,AMARANTHACEAE,莧科,,,,,,,,,,,,
183,Celosia taitoensis,台東青葙,,Endemic,,,rank4,第四級,,,,,,
184,Philoxerus wrightii,安旱草,,,VU(Ⅲ),,,,,,,,,
185,ANACARDIACEAE,漆樹科,,,,,,,,,,,,
186,Buchanania arborescens,山羨子,NT,,,,,,,,,,A,HR
187,Rhus hypoleuca,裏白漆,VU,,,,,,稀有級,III,III,III,,
188,Semecarpus cuneiformis,鈍葉大果漆,CR,,,,,,稀有級,III,,,,
189,ANNONACEAE,番荔枝科,,,,,,,,,,,,
190,Goniothalamus amuyon,恆春哥納香,CR,,CR(I),,,,漸危級,"I,III",I,I,A B ,HR MP
191,APOCYNACEAE,夾竹桃科,,,,,,,,,,,,
192,Alyxia taiwanensis ,臺灣念珠藤,NT,Endemic,EN(I),,,第一級,稀有級,III,III,III,,
193,Alyxiz insularis,念珠藤,VU,,VU(Ⅳ),,,,,,,,A E,HR
194,Tabernaemontana dichotoma,蘭嶼馬蹄花,NT,,,,,,,,,,A E,HR
195,Tobernaemontana pandacaqui,南洋馬蹄花,VU,,NE(Ⅳ),,,,,,,,,
196,AQUIFOLIACEAE,冬青科,,,,,,,,,,,,
197,Ilex crenata,假黃楊,NT,,,,,,稀有級,III,,,,
198,Ilex kusanoi,草野氏冬青,NT,,,,,,稀有級,III,,,,
199,Ilex lonicerifolia ,忍冬葉冬青,NT,Endemic,,,rank3,,,,,,,
200,Ilex rarasanensis,拉拉山冬青,,Endemic,,,rank3,,,,,,,
201,Ilex taiwanensis,長梗花冬青,,,,,,,稀有級,III,,,,
202,ARALIACEAE,五加科,,,,,,,,,,,,
203,Boerlagiodendron pectinatum,蘭嶼八角金盤,NT,,,,,,,,,,A,HR
204,Dendropanax trifidus,三菱果樹參,CR,,,,,,,,,,A,
205,Pentapanax castanopsisicola ,臺灣五葉參,NT,Endemic,EN(I),,rank3,第三級,稀有級,III,III,III,,
206,Schefflera arboricola,鵝掌蘗,VU,,,,,,,,,,C,HR OP
207,Sinopanax papyriferus,華參,NT,Endemic,,,rank3,第二級,稀有級,III,,,,
208,ARISTOLOCHIACEAE,馬兜鈴科,,,,,,,,,,,,
209,Aristolochia cucurbitifolia,瓜葉馬兜鈴,,Endemic,VU(Ⅲ),,,第三級,,,,,,
210,Aristolochia foreolata  ,高氏馬兜鈴,,,,,,,,"I,III",I,I,,
211,Aristolochia zollingeriana ,港口馬兜鈴,,,EN(II),,,,稀有級,"I,III※",I※,I※,A,
212,Asarum crassusepalum,鴛鴦湖細辛,,Endemic,EN(Ⅲ),,rank4,第四級,,,,,,
213,Asarum epigynum,上花細辛,,,VU(Ⅵ),,,,,,,,,
214,Asarum hypogynum,下花細辛,,Endemic,VU(Ⅵ),第二級,rank2,,,,,,,
215,Asarum taipingshanianum,太平山細辛,,Endemic,VU(Ⅵ),,,第四級,,,,,,
216,ASCLEPIADACEAE,蘿藦科,,,,,,,,,,,,
217,Cynanchum lanhsuense,蘭嶼牛皮消,NT,Endemic,VU(Ⅳ),,rank4,第二級,稀有級,,,,A E,HR
218,Jasminanthes mucronata,舌瓣花,VU,,EN(Ⅳ),,,,稀有級,III※,III※,III※,A,HR
219,Telosma pallida,夜香花,EN,,,,,,稀有級,III,III,III,A,HR
220,Tylophora taiwanensis,臺灣鷗蔓,NT,Endemic,VU(Ⅴ),第四級,rank4,,,,,,,
221,BALANOPHORACEAE,蛇菰科,,,,,,,,,,,,
222,Balanophora fungosa ,粗穗蛇菰,VU,,VU(I),,,,稀有級,III,III,III,,
223,Balanophora wrightii ,海桐生蛇菰,VU,,VU(I),,,,稀有級,III ※,III ※,III ※,,
224,BALSAMINACEAE,鳳仙花科,,,,,,,,,,,,
225,Impatiens devolii ,棣慕華鳳仙花,待討論,Endemic,VU(II),第二級,rank2,第一級,,III※,III※,III,,
226,Impatiens tayemonii,黃花鳳仙花,待討論,Endemic,,第三級,rank3,第三級,稀有級,III,III,III,,
227,BEGONIACEAE,秋海棠科,,,,,,,,,,,,
228,Begonia austrotaiwanensis,南臺灣秋海棠,,Endemic,VU(Ⅵ),第三級,rank3,,稀有級,,,,,
229,Begonia fenicis,蘭嶼秋海棠,待討論,,VU(Ⅵ),,,,,,,,A,HR
230,Begonia lukuana,鹿谷秋海棠,,Endemic,VU(Ⅵ),,rank3,,,,,,,
231,Begonia ravenii,岩生秋海棠,待討論,Endemic,NT(Ⅵ),,rank3,,,,,,,
232,BERBERIDACEAE,小蘗科,,,,,,,,,,,,
233,Berberis aristatoserrulata,長葉小蘗,VU,Endemic,VU(Ⅲ),,rank3,,,,,,,
234,Berberis tarokoensis ,太魯閣小蘗,VU,Endemic,VU(II),,rank2,第二級,,,,,,
235,Dysosma pleiantha ,八角蓮,NT,,VU(I),,,,漸危級,II,II,II,C D,MP HR
236,Mahonia japonica,十大功勞,VU,,,,,,,,,,C E,HR OP MP
237,Mahonia oiwakensis,阿里山十大功勞,NT,Endemic,,,,第三級,稀有級,,,,C,HR MP
238,BORAGINACEAE,紫草科,,,,,,,,,,,,
239,Coldenia procumbens,臥莖同籬生果草,CR,,,,,,稀有級,I,I,I,,
240,Cordia aspera subsp. kanehirai,金平氏破布子,CR,,VU(Ⅳ),,,,,,,,,
241,Cynoglossum alpestre,高山倒提壺,NT,Endemic,,第二級,rank2,,,,,,,
242,Lithospermum zollingeri ,梓木草,VU,,VU(II),,,,,,,,,
243,Trigonotis nankotaizanensis,南湖附地草,NT,Endemic,,,rank2,,,,,,,
244,BUXACEAE,黃楊科,,,,,,,,,,,,
245,Buxus liukiuensis ,琉球黃楊,NT,,VU(II),,,,稀有級,,,,C E,HR EP
246,Buxus microphylla  subsp. sinica var. tarokoensis ,太魯閣黃楊,VU,Endemic,EN(II),,rank4,,,,,,,
247,Pachysandra axillaris,三角咪草,,,,,,,稀有級,III,III,III,,
248,Sarcococca saligna ,柳狀野扇花,NT,,EN(I),,,,稀有級,III,III,III,C,HR
249,CAPPARACEAE,山柑科,,,,,,,,,,,,
250,Capparis floribunda ,多花山柑,VU,,CR(I),,,,漸危級,III,,,,
251,Capparis pubiflora,毛花山柑,VU,,,,,,,,,,A,HR
252,Capparis sikkimensis subsp. formosana ,山柑,NT,,VU(II),,,,,,,,,
253,CAPRIFOLIACEAE,忍冬科,,,,,,,,,,,,
254,Abelia chinensis var. ionandra,臺灣糯米條,VU,Endemic,VU(Ⅳ),,rank3,,,,,,,
255,Lonicera apodantha,短梗忍冬,NT,Endemic,LC(Ⅳ),,,,,,,,,
256,Lonicera kawakamii,川上氏忍冬,NT,Endemic,NT(Ⅳ),,rank3,,稀有級,,III,III,,
257,Lonicera oiwakensis ,追分忍冬,VU,Endemic,EN(I),,rank3,第二級,稀有級,III,III,III,,
258,Viburnum plicatum var. formosanum,臺灣蝴蝶戲珠花,NT,Endemic,,,rank3,第三級,稀有級,III,,,,
259,CARYOPHYLLACEAE,石竹科,,,,,,,,,,,,
260,Dianthus palinensis,巴陵石竹,,Endemic,,,rank4,,,,,,,
261,Silene glabella,南湖大山蠅子草,,Endemic,,,rank4,,,,,,,
262,CECROPIACEAE,錐頭麻科,,,,,,,,,,,,
263,Poikilospermum acuminatum,錐頭麻,CR,,,,,,,,,,A,HR
264,CELASTRACEAE,衛矛科,,,,,,,,,,,,
265,Euonymus cochinchinensis,交趾衛矛,NT,,NT(Ⅲ),,,,,,,,,
266,Euonymus japonicus,日本衛矛,CR,,EN(Ⅲ),,,,,,,,,
267,Euonymus morrisonensis,玉山衛矛,CR,Endemic,EN(I),,,第三級,稀有級,III,III,III,,
268,Euonymus pallidifolia ,淡綠葉衛矛,EN,Endemic,CR(I),,rank1,第一級,稀有級,III,III,III,A E,HR
269,Euonymus trichocarpus,卵葉刺果衛矛,NT,Endemic,VU(Ⅲ),,rank3,,,,,,,
270,Maytenus emarginata,蘭嶼裸實,NT,,,,,,稀有級,III,III,,,
271,Tripterygium wilfordii ,雷公藤,NT,,VU(I),,,,稀有級,"II,III",II,II,,
272,COMBRETACEAE,使君子科,,,,,,,,,,,,
273,Lumnitzera racemosa ,欖李,NT,,EN(I),,,,瀕危級,I,I,I,A,HR
274,COMPOSITAE,菊科,,,,,,,,,,,,
275,Ainsliaea secundiflora,中原氏鬼督郵,,Endemic,VU(Ⅴ),第二級,rank2,,,,,,,
276,Aster chingsuiensis,清水馬蘭,,Endemic,NT(Ⅴ),,rank2,第二級,稀有級,III,,,,
277,Aster itsunboshi,大武山紫菀,待討論,Endemic,,,rank4,第四級,,,,,,
278,Aster morrisonensis,玉山鐵桿蒿,待討論,Endemic,,,rank1,,,,,,,
279,Aster ovalifolius,臺灣紺菊,待討論,Endemic,,,rank1,,,,,,,
280,Aster shimadai,島田氏雞兒腸,,,VU(Ⅴ),,,,,,,,,
281,Aster takasagomontanus,雪山馬蘭,,Endemic,NT(Ⅳ),第二級,rank2,第三級,稀有級,,,,,
282,Aster taoyuenensis,桃園馬蘭,,Endemic,VU(Ⅴ),第一級,rank1,,,,,,,
283,Blumea conspicua,大花艾納香,,,VU(Ⅴ),,,,,,,,,
284,Blumea linearis,狹葉艾納香,,Endemic,NE(Ⅴ),,rank3,,,,,,,
285,Cirsium lineare,華蓟,,,EN(Ⅴ),,,,,,,,,
286,Cirsium morii,森氏蓟,,Endemic,LC(Ⅴ),,rank2,,,,,,,
287,Dendranthema horaimontana,蓬萊油菊,,Endemic,CR(Ⅴ),,rank1,,,,,,,
288,Dendranthema morii,森氏菊,,Endemic,NT(Ⅳ),,rank2,第二級,稀有級,,,,,
289,Eupatorium clematideum var. gracillimum,高士佛澤蘭,,,,,rank2,,,,,,,
290,Gerbera anandria,大丁草,,,EN(Ⅴ),,,,,,,,,
291,Gynura elliptica,蘭嶼木耳菜,,Endemic,LC(Ⅴ),,rank2,,,,,,,
292,Ligularia japonica,大吳風草,,,VU(Ⅳ),,,,,III,III,III,,
293,Ligularia kojimae,高山橐吾,,Endemic,,,rank2,第一級,,,,,,
294,Parasenecio monantha,高山蟹甲草,,,VU(Ⅴ),,,,,,,,,
295,Parasenecio nokoensis,能高蟹甲草,,Endemic,,,rank1,,,,,,,
296,Pertya simozawai,半高野帚,,Endemic,EN(Ⅴ),,rank1,,,,,,,
297,Pluchea pteropoda,光梗闊苞菊,,,,,,,稀有級,III,III,III,,
298,Saussurea glandulosa,高山青木香,,Endemic,,,rank3,,,,,,,
299,Saussurea kanzanensis,關山青木香,,Endemic,VU(Ⅴ),,rank2,第一級,,,,,,
300,Saussurea kiraisanensis,奇萊青木香,,Endemic,,,rank1,,,,,,,
301,Senecio crataegifolius,小蔓黃菀,,Endemic,,第三級,rank3,,,,,,,
302,Senecio tarokoensis,太魯閣千里光,,Endemic,EN(Ⅴ),,rank1,,,,,,,
303,Syneilesis intermedia,臺灣破傘菊,待討論,Endemic,,,rank1,,,,,,,
304,Syneilesis subglabrata,高山破傘菊,,Endemic,VU(Ⅴ),,rank2,,,,,,,
305,Taraxacum formosanum,臺灣蒲公英,,,EN(Ⅴ),,,,,,,,,
306,Tephroseris taitoensis,臺灣狗舌草,待討論,Endemic,,,rank1,,,,,,,
307,Vernonia maritima,濱斑鳩菊,,,VU(Ⅳ),,,,稀有級,III,,,,
308,CONVOLVULACEAE,旋花科,,,,,,,,,,,,
309,Argyreia formosana,鈍葉朝顏,,Endemic,,,rank3,,,,,,,
310,Ipomoea imperati,厚葉牽牛,,,,,,,稀有級,,,,,
311,Hewittia sublobata,吊鐘藤,NT,,,,,,,III,III,III,,
312,CORNACEAE,山茱萸科,,,,,,,,,,,,
313,Cornus controversa,燈台樹,NT,,,,,,,,,,C,HR
314,CRASSULACEAE,景天科,,,,,,,,,,,,
315,Hylotelephium subcapitatum,穗花八寶,,Endemic,,,rank3,,,,,,,
316,Sedum microsepalum,小萼佛甲草,,Endemic,,,rank3,,,,,,,
317,Sedum sekiteiense,石碇佛甲草,,Endemic,,第二級,rank2,第三級,,,,,,
318,Sedum uniflorum,疏花佛甲草,,,,,,,稀有級,,,,,
319,CRUCIFERAE,十字花科,,,,,,,,,,,,
320,Barbarea taiwaniana,臺灣山芥菜,,Endemic,,,rank1,,,,,,,
321,Draba sekiyana,臺灣山薺,,Endemic,,,rank3,,稀有級,,,,,
322,CUCURBITACEAE,葫蘆科,,,,,,,,,,,,
323,Saraitia taiwaniana,臺灣羅漢果,,,VU(Ⅵ),,rank3,第一級,,,,,,
324,DIAPENSIACEAE,岩梅科,,,,,,,,,,,,
325,Shortia rotundifolia ,裂緣花,NT,,,,,,稀有級,,,,,
326,Shortia rotundifolia var. ritoensis,李棟山裂緣花,NT,,,,rank4,,,,,,,
327,Shortia rotundifolia var. subcordata,圓葉裂緣花,NT,,,第四級,rank4,,,,,,,
328,Shortia rotundifolia var. transalpina,高山裂緣花,NT,,,,rank4,,,,,,,
329,DROSERACEAE,茅膏菜科,,,,,,,,,,,,
330,Drosera burmannii,金錢草,NT,,,,,,稀有級,I,I,I,,
331,Drosera indica ,長葉茅膏菜,VU,,EN(I),,,,稀有級,I,I,I,,
332,Drosera peltata,茅膏菜,NT,,,,,,稀有級,I,I,I,,
333,EBENACEAE,柿樹科,,,,,,,,,,,,
334,Diospyros discolor,毛柿,NT,,EN(I),,,,漸危級,"I,II,III","I,II,III","I,II,III",D,HR EP
335,Diospyros ferrea,象牙樹,NT,,EN(I),,,,稀有級,"II,III","II,III","II,III",A,HR EP
336,Diospyros kotoensis,蘭嶼柿,CR,Endemic,,第二級,rank2,第一級,稀有級,,,,A,HR
337,Diospyros rhombifolia,菱葉柿,VU,,VU(Ⅵ),,,,,,,,,
338,Diospyros vaccinioides ,楓港柿,EN,,CR(I),,,,漸危級,,,,,
339,ELAEAGNACEAE,胡頹子科,,,,,,,,,,,,
340,Elaeagnus ohashii,大橋胡頹子,CR,Endemic,,,rank2,,,,,,,
341,Elaeagnus tarokoensis ,太魯閣胡頹子,VU,Endemic,VU(II),,rank2,第二級,,,,,,
342,Elaeagnus triflora ,菲律賓胡頹子,NT,,VU(II),,,,,,,,,
343,ELAEOCARPACEAE,杜英科,,,,,,,,,,,,
344,Elaeocarpus sphaericus var. hayatae,球果杜英,NT,,,,rank4,第四級,,,,,,
345,Elaeocarpus sylvestris var. lanyuensis,蘭嶼杜英,VU,,,,rank4,第四級,,,,,,
346,ERICACEAE,杜鵑花科,,,,,,,,,,,,
347,Enkianthus perulatus,臺灣吊鐘花,VU,,VU(Ⅳ),,,,稀有級,III,III,III,A,HR
348,Rhododendron chilanshanense,棲蘭山杜鵑,VU,Endemic,,,rank4,,,,,,,
349,Rhododendron hyperythrum,紅星杜鵑,,Endemic,,,,第四級,漸危級,"II,III※","II,III",,C E,HR OP
350,Rhododendron kanehirai ,烏來杜鵑,EW,Endemic,EW(I),,rank1,第一級,瀕危級,"I,III※","I,III",,A E,HR OP
351,Rhododendron kawakamii,著生杜鵑,NT,Endemic,VU(Ⅳ),第三級,rank3,,稀有級,,,,C E,HR OP
352,Rhododendron longiperulatum,大屯杜鵑,,Endemic,,,,第四級,稀有級,,,,A E,HR OP
353,Rhododendron nakaharai,中原氏杜鵑,,Endemic,,,,第四級,稀有級,,,,A E,HR OP
354,Rhododendron ovatum ,馬銀花,,,nt(II),,,,稀有級,,,,C,HR OP
355,Rhododendron ovatum var. lamprophyllum,長卵葉馬銀花,NT,Endemic,,,rank4,第二級,,,,,,
356,Rhododendron simsii ,唐杜鵑,NT,,VU(II),,,,稀有級,,,,A,HR OP
357,Rhododendron tashroi,大武杜鵑,VU,,,,,第四級,稀有級,,,,A,HR OP
358,Vaccinium kengii,鞍馬山越橘,NT,Endemic,,,rank4,,,,,,,
359,EUPHORBIACEAE,大戟科,,,,,,,,,,,,
360,Acalypha brachystachya,短序鐵莧菜,,,VU(Ⅵ),,,,,,,,,
361,Acalypha matudae,恆春鐵莧,,Endemic,,,rank2,第二級,,,,,,
362,Acalypha suirenbiensis,花蓮鐵莧,,Endemic,,,rank3,第三級,稀有級,III,,,,
363,Antidesma hiiranense,南仁五月茶,,Endemic,,,rank2,,,,,,,
364,Chamaesyce  garanbiensis,鵝鑾鼻大戟,,Endemic,,第二級,rank2,第四級,稀有級,III,III,III,,
365,Chamaesyce taihsiensis,臺西大戟,,Endemic,LC(Ⅲ),,rank4,第四級,,,,,,
366,Claoxylon brachyandrum,假鐵莧,,,,,,,稀有級,,,,A,HR
367,Drypetes karapinensis,交力坪鐵色,,Endemic,VU(Ⅲ),,,,,,,,,
368,Drypetes littoralis,鐵色,,,VU(Ⅲ),,,,,,,,,
369,Euphorbia formosana,臺灣大戟,,Endemic,,,,,稀有級,II,II,II,,
370,Euphorbia jolkini ,岩大戟,,,VU(II),,,,,,,,,
371,Euphorbia shouanensis,霞山大戟,,Endemic,,,rank4,第四級,,,,,,
372,Euphorbia tarokoensis,太魯閣大戟,,Endemic,,,rank2,第二級,稀有級,,,,,
373,Excoecaria agallocha,土沉香,,,EN(Ⅲ),,,,稀有級,III,,,,
374,Excoecaria formosana,臺灣土沉香,,,NT(Ⅵ),,,,,,,,,
375,Excoecaria kawakamii,蘭嶼土沉香,,Endemic,VU(Ⅲ),第二級,rank2,第二級,,,,,A E,HR
376,Glochidion puberum,紅毛饅頭果,,,VU(Ⅲ),,,,,,,,,
377,Liodendron formosanum,臺灣假黃楊,,Endemic,NT(Ⅲ),第三級,rank3,,,,,,C E,HR
378,Macaranga sinensis,紅肉橙蘭,,,CD(Ⅲ),,,,,,,,,
379,Mallotus tiliifolius ,椴葉野桐,,,EN(I),,,,稀有級,,,,,
380,Margaritaria indica,紫黃,,,VU(Ⅲ),,,,,,,,,
381,FAGACEAE,殼斗科,,,,,,,,,,,,
382,Castanopsis indica,印度苦櫧,NT,,NT(Ⅲ),,,,,,,,A,HR EP
383,Castanopsis kusanoi,細刺苦櫧,NT,Endemic,,,rank4,,,,,,,
384,Cyclobalanopsis glauca var. kuyuensis,谷園青剛櫟,,Endemic,,,,第四級,,,,III,A E,HR EP
385,Cyclobalanopsis hypophaea,灰背櫟,VU,Endemic,,,rank2,第二級,,,,,A E,HR
386,Cyclobalanopsis myrsinaefolia,黑櫟,,,,,,,,,,,A,HR
387,Cyclobalanopsis repandifolia,波葉櫟,VU,Endemic,,,rank1,第一級,漸危級,"I,III","I,III",,A E,HR EP
388,Lithocarpus nantoensis,南投石櫟,NT,Endemic,VU(Ⅲ),,rank2,第二級,,,,,,
389,Lithocarpus shinsuiensis,浸水營石櫟,VU,Endemic,EN(Ⅲ),,rank2,第一級,,,,,A E,HR EP
